# Weather archive data (Russian header encoding: Windows, CP1251)
# Данные из архива погодных условий (см. http://meteo.infospace.ru)
# Метеостанция
#    Индекс WMO    : 28444
#    Имя (EN/RU)   : Koltsovo / Кольцово
# Выборка данных
#    Диапазон дат  : 2000-03-09 ... 2004-06-15
#    Формат даты   : YYYY-MM-DD
#    Формат времени: HH:MM
#    Формат файла  : CSV (значения, разделенные запятыми)
#    БД-источник(и): 2
# Поля данных
#    date  - Дата UTC
#    time  - Время UTC
#    db_id - Код БД-источника
#    C     - Облачность (соотв. НГО), тип
#    Ch    - Облачность верхняя, тип
#    Cl    - Облачность нижняя, тип
#    Cm    - Облачность средняя, тип
#    dd    - Направление ветра
#    E     - Состояние почвы
#    ff    - Скорость ветра
#    G     - Порывы ветра
#    h     - Облачность, нижняя граница
#    N     - Облачность (нижняя или средняя)
#    P     - Давление
#    P0    - Давление на уровне моря
#    R24   - Осадки
#    Rd    - Осадки, день
#    RH    - Относительная влажность
#    Rn    - Осадки, ночь
#    SD    - Высота снежного покрова
#    SS    - Солнечный свет, продолжительность
#    T     - Температура
#    Td    - Точка росы
#    Tg    - Температура почвы
#    Tgn   - Температура почвы, мин
#    Tln   - Температура последней ночи, мин
#    Tn    - Температура, мин
#    Tw    - Температура воды
#    Tx    - Температура, макс
#    VV    - Видимость
#    ww    - Погодные условия
#
#    Порядок полей в записи: date,time,db_id,C,Ch,Cl,Cm,dd,E,ff,G,h,N,P,P0,R24,Rd,RH,Rn,SD,SS,T,Td,Tg,Tgn,Tln,Tn,Tw,Tx,VV,ww
#
2000-03-09,00:00,2,,,,,184,,2,,1750,8,977.509,1007,,,77,,45,,-2.31,-5.41,,,,,,,20.8,
2000-03-09,06:00,2,,,,,168,,5,,3000,8,974.078,1003.4,,,71,,,,-1.71,-5.77,,,,,,,27.5,
2000-03-09,12:00,2,,,,,203,,5,,3000,8,971.825,1001,,,86,,,,-0.98,-2.84,,,,,,,9.1,
2000-03-09,18:00,2,,,,,243,,2,,1250,6,977.762,1007.2,,,73,,,,-1.76,-5.41,,,,,,,20.8,
2000-03-09,,2,,,,,,,,,,,,,0,1,,0,,4,,,,,,-3.76,,-0.31,,
2000-03-10,00:00,2,,,,,196,,1,,3000,3,979.909,1010.1,,,88,,45,,-8.05,-9.48,,,,,,,20,
2000-03-10,06:00,2,,,,,136,,3,,3000,10,980.631,1010.4,,,72,,,,-3.99,-7.83,,,,,,,27.4,
2000-03-10,12:00,2,,,,,155,,3,,2250,4,978.287,1007.5,,,75,,,,0.45,-3.37,,,,,,,23.8,
2000-03-10,18:00,2,,,,,160,,4,,3000,5,978.926,1008.1,,,88,,,,0.98,-0.85,,,,,,,20.8,
2000-03-10,,2,,,,,,,,,,,,,0.2,0.6,,0,,1,,,,,,-10.29,,1.41,,
2000-03-11,00:00,2,,,,,160,,3,,3000,9,978.577,1007.7,,,90,,44,,1.36,-0.02,,,,,,,20.4,
2000-03-11,06:00,2,,,,,152,,5,,3000,8,978.882,1007.9,,,84,,,,2.4,0.04,,,,,,,27.5,
2000-03-11,12:00,2,,,,,150,,6,,450,9,977.216,1006.2,,,80,,,,2.26,-0.91,,,,,,,25.3,
2000-03-11,18:00,2,,,,,137,,4,,3000,10,977.457,1006.6,,,84,,,,0.87,-1.56,,,,,,,24,
2000-03-11,,2,,,,,,,,,,,,,0.8,0.4,,0.8,,3,,,,,,0.04,,3.75,,
2000-03-12,00:00,2,,,,,221,,1,,3000,5,979.985,1009.4,,,80,,40,,-0.93,-3.65,,,,,,,13.6,
2000-03-12,06:00,2,,,,,313,,2,,3000,9,983.577,1013.2,,,71,,,,-1.85,-5.82,,,,,,,24,
2000-03-12,12:00,2,,,,,317,,2,,3000,9,985.383,1015,,,58,,,,-1.3,-7.66,,,,,,,28.4,
2000-03-12,18:00,2,,,,,326,,2,,3000,10,984.075,1013.7,,,67,,,,-1.73,-6.39,,,,,,,13.3,
2000-03-12,,2,,,,,,,,,,,,,0.8,0.7,,0.8,,4,,,,,,-3.73,,-0.45,,
2000-03-13,00:00,2,,,,,327,,2,,3000,10,981.686,1011.5,,,92,,49,,-4.11,-5.06,,,,,,,3.7,
2000-03-13,06:00,2,,,,,343,,4,,3000,5,982.366,1012.2,,,86,,,,-4.11,-5.93,,,,,,,15.7,
2000-03-13,12:00,2,,,,,350,,5,,3000,9,982.316,1012,,,75,,,,-2.75,-6.18,,,,,,,20,
2000-03-13,18:00,2,,,,,324,,6,,3000,10,981.575,1011.4,,,79,,,,-4.24,-7.01,,,,,,,17.7,
2000-03-13,,2,,,,,,,,,,,,,6.1,1.8,,4.8,,5,,,,,,-4.83,,-2.29,,
2000-03-14,00:00,2,,,,,324,,6,,1250,10,981.282,1011.3,,,83,,48,,-6.09,-8.29,,,,,,,7.6,
2000-03-14,06:00,2,,,,,308,,6,,2250,9,981.181,1011.1,,,79,,,,-5.21,-7.94,,,,,,,20.1,
2000-03-14,12:00,2,,,,,291,,6,,3000,5,983.786,1013.6,,,62,,,,-3.53,-9.1,,,,,,,20.8,
2000-03-14,18:00,2,,,,,292,,4,,3000,10,986.678,1016.8,,,63,,,,-5.53,-10.72,,,,,,,19.4,
2000-03-14,,2,,,,,,,,,,,,,10,0.9,,3,,6,,,,,,-7.53,,-3.07,,
2000-03-15,00:00,2,,,,,284,,3,,1250,6,988.504,1019.2,,,82,,47,,-10.23,-12.46,,,,,,,13.2,
2000-03-15,06:00,2,,,,,274,,4,,1250,9,990.106,1020.5,,,68,,,,-7.05,-11.46,,,,,,,19.7,
2000-03-15,12:00,2,,,,,285,,5,,3000,5,990.619,1020.7,,,49,,,,-4.07,-12.19,,,,,,,22.7,
2000-03-15,18:00,2,,,,,283,,3,,1250,5,991.72,1022.3,,,66,,,,-8.28,-12.92,,,,,,,23.9,
2000-03-15,,2,,,,,,,,,,,,,5,0.4,,0.5,,5,,,,,,-10.88,,-3.72,,
2000-03-16,00:00,2,,,,,309,,2,,450,5,992.898,1023.9,,,82,,46,,-11.76,-13.92,,,,,,,20.7,
2000-03-16,06:00,2,,,,,292,,3,,1250,4,993.392,1023.9,,,64,,,,-7.17,-12.27,,,,,,,27.7,
2000-03-16,12:00,2,,,,,297,,3,,1750,4,992.322,1022.4,,,46,,,,-3.58,-12.34,,,,,,,26.7,
2000-03-16,18:00,2,,,,,280,,1,,1250,3,994.041,1024.9,,,71,,,,-10.15,-13.92,,,,,,,24,
2000-03-16,,2,,,,,,,,,,,,,0.2,0,,0,,9,,,,,,-13.55,,-3.33,,
2000-03-18,00:00,2,,,,,315,,2,,3000,10,998.484,1029.4,,,89,,48,,-9.42,-10.67,,,,,,,15.7,
2000-03-18,06:00,2,,,,,328,,4,,1250,10,999.682,1030.3,,,74,,,,-6.42,-9.83,,,,,,,24.3,
2000-03-18,12:00,2,,,,,328,,4,,1750,4,1001.1,1031.2,,,44,,,,-1.43,-11.02,,,,,,,27.2,
2000-03-18,18:00,2,,,,,311,,1,,3000,6,1003.67,1034.8,,,67,,,,-9.9,-14.36,,,,,,,24.3,
2000-03-18,,2,,,,,,,,,,,,,0.4,0,,0.3,,7,,,,,,-10.92,,-1.12,,
2000-03-19,06:00,2,,,,,,,,,,,,,,,64,,,,0.14,-5.86,,,,,,,,
2000-03-19,12:00,2,,,,,,,,,,,,,,,64,,,,0.14,-5.86,,,,,,,,
2000-03-19,18:00,2,,,,,260,,1,,3000,6,1004.23,1034.9,,,61,,,,-5.61,-11.18,,,,,,,23.2,
2000-03-19,,2,,,,,,,,,,,,,0,0,,0,,,,,,,,-6.61,,0.14,,
2000-03-21,06:00,2,,,,,,,,,,,,,,,65,,,,4.54,-1.46,,,,,,,,
2000-03-21,12:00,2,,,,,,,,,,,,,,,65,,,,4.54,-1.46,,,,,,,,
2000-03-21,18:00,2,,,,,254,,4,,3000,3,988.189,1017.8,,,43,,,,-0.48,-10.3,,,,,,,21.1,
2000-03-21,,2,,,,,,,,,,,,,0,0,,0,,,,,,,,-1.48,,4.54,,
2000-03-22,06:00,2,,,,,270,,3,,3000,10,984.326,1014.3,,,75,,,,-4.84,-8.14,,,,,,,20,
2000-03-22,12:00,2,,,,,254,,3,,1250,9,985.048,1014.1,,,50,,,,3.76,-5.57,,,,,,,27.3,
2000-03-22,18:00,2,,,,,189,,1,,3000,9,984.504,1014,,,72,,,,-0.44,-4.32,,,,,,,23.2,
2000-03-22,,2,,,,,,,,,,,,,0,0,,0,,,,,,,,-1.44,,4.46,,
2000-03-23,00:00,2,,,,,229,,1,,3000,6,982.592,1012.2,,,83,,44,,-1.98,-4.13,,,,,,,18.1,
2000-03-23,06:00,2,,,,,216,,2,,3000,9,979.838,1009.1,,,81,,,,0.43,-2.42,,,,,,,15.7,
2000-03-23,12:00,2,,,,,250,,3,,3000,6,977.909,1006.8,,,55,,,,3.3,-4.88,,,,,,,27.3,
2000-03-23,18:00,2,,,,,257,,2,,450,5,976.217,1005.5,,,69,,,,-0.76,-5.21,,,,,,,23.2,
2000-03-23,,2,,,,,,,,,,,,,4,0,,1.2,,3,,,,,,-3.29,,3.95,,
2000-03-24,00:00,2,,,,,235,,2,,1250,10,975.784,1005.3,,,80,,39,,-3.02,-5.66,,,,,,,19.1,
2000-03-24,06:00,2,,,,,213,,2,,3000,10,977.059,1006.2,,,73,,,,0.78,-3.55,,,,,,,21.1,
2000-03-24,12:00,2,,,,,257,,5,,800,6,978.549,1007.6,,,66,,,,2.01,-3.76,,,,,,,25.4,
2000-03-24,18:00,2,,,,,225,,2,,3000,6,980.95,1010.4,,,80,,,,-0.99,-3.67,,,,,,,20.8,
2000-03-24,,2,,,,,,,,,,,,,4,0.2,,0.3,,4,,,,,,-3.32,,4.01,,
2000-03-25,00:00,2,,,,,189,,2,,3000,8,980.923,1010.4,,,86,,39,,-1.24,-2.99,,,,,,,14.7,
2000-03-25,06:00,2,,,,,222,,4,,3000,10,980.425,1009.3,,,66,,,,4.13,-1.54,,,,,,,29.7,
2000-03-25,12:00,2,,,,,205,,5,,3000,6,980.204,1008.8,,,49,,,,6.63,-3.3,,,,,,,27.3,
2000-03-25,18:00,2,,,,,180,,3,,1250,4,978.072,1007,,,65,,,,3.01,-2.81,,,,,,,23.6,
2000-03-25,,2,,,,,,,,,,,,,0.4,0,,0.4,,8,,,,,,-2.87,,7.18,,
