# Weather archive data (Russian header encoding: Windows, CP1251)
# Данные из архива погодных условий (см. http://meteo.infospace.ru)
# Метеостанция
#    Индекс WMO    : 28541
#    Имя (EN/RU)   : Verhnij Ufalej / Верхний Уфалей
# Выборка данных
#    Диапазон дат  : 2000-03-09 ... 2012-12-31
#    Формат даты   : YYYY-MM-DD
#    Формат времени: HH:MM
#    Формат файла  : CSV (значения, разделенные запятыми)
#    БД-источник(и): 2,3
# Поля данных
#    date  - Дата UTC
#    time  - Время UTC
#    db_id - Код БД-источника
#    C     - Облачность (соотв. НГО), тип
#    Ch    - Облачность верхняя, тип
#    Cl    - Облачность нижняя, тип
#    Cm    - Облачность средняя, тип
#    dd    - Направление ветра
#    E     - Состояние почвы
#    ff    - Скорость ветра
#    G     - Порывы ветра
#    h     - Облачность, нижняя граница
#    N     - Облачность (нижняя или средняя)
#    P     - Давление
#    P0    - Давление на уровне моря
#    R24   - Осадки
#    Rd    - Осадки, день
#    RH    - Относительная влажность
#    Rn    - Осадки, ночь
#    SD    - Высота снежного покрова
#    SS    - Солнечный свет, продолжительность
#    T     - Температура
#    Td    - Точка росы
#    Tg    - Температура почвы
#    Tgn   - Температура почвы, мин
#    Tln   - Температура последней ночи, мин
#    Tn    - Температура, мин
#    Tw    - Температура воды
#    Tx    - Температура, макс
#    VV    - Видимость
#    ww    - Погодные условия
#
#    Порядок полей в записи: date,time,db_id,C,Ch,Cl,Cm,dd,E,ff,G,h,N,P,P0,R24,Rd,RH,Rn,SD,SS,T,Td,Tg,Tgn,Tln,Tn,Tw,Tx,VV,ww
#
2000-03-09,00:00,2,0,,,,0,,0,,3000,10,956.605,1006.2,,,83,,36,,-2.2,-4.4,-4,,,,,,13.2,
2000-03-09,06:00,2,0,,,,140,,4,,1250,10,952.587,1001.9,,,68,,,,-1.8,-6.4,,,,,,,17.7,
2000-03-09,12:00,2,0,,,,230,,5,,3000,10,952.062,1001.2,,,90,,,,-1,-2.3,0,,,,,,6,71
2000-03-09,18:00,2,,,,,0,,0,,450,5,957.58,1007.3,,,71,,,,-2.6,-6.6,,,,,,,13.2,2
2000-03-09,,2,,,,,,,,,,,,,0,1,,0,,5,,,,,-11.4,-4.6,,-0.6,,
2000-03-10,00:00,2,,,,,0,,0,,3000,8,959.001,1010.1,,,90,,37,,-9.6,-10.8,-10,,,,,,11.5,
2000-03-10,06:00,2,0,,,,152,,2,,1250,8,958.102,1007.7,,,59,,,,-1.8,-7.9,,,,,,,17.2,
2000-03-10,12:00,2,0,,,,131,,3,,3000,4,957.159,1006.3,,,76,,,,0.4,-3.4,0,,,,,,15.9,2
2000-03-10,18:00,2,5,,,,160,,3,,3000,9,957.906,1006.9,,,96,,,,1.4,0.9,,,,,,,13.2,
2000-03-10,,2,,,,,,,,,,,,,1,1,,0,,2,,,,,0.5,-11.4,,0.6,,
2000-03-11,00:00,2,0,,,,120,,2,,3000,10,957.621,1006.6,,,94,,36,,1.4,0.6,0,,,,,,12.1,
2000-03-11,06:00,2,0,,,,150,,6,,3000,10,957.434,1006.2,,,89,,,,2.5,0.9,,,,,,,40,
2000-03-11,12:00,2,0,,,,150,,7,,3000,9,955.408,1004.2,,,83,,,,1.8,-0.7,0,,,,,,18.3,
2000-03-11,18:00,2,5,,,,121,,3,,3000,4,955.822,1004.7,,,86,,,,1.45,-0.7,,,,,,,14.6,2
2000-03-11,,2,,,,,,,,,,,,,1,0.1,,0,,3,,,,,-4.4,-0.55,,2.9,,
2000-03-12,00:00,2,5,,,,140,,4,,3000,5,959.402,1008.9,,,78,,34,,-0.9,-3.8,-2,,,,,,16,71
2000-03-12,06:00,2,0,,,,261,,2,,3000,9,963.415,1013.7,,,63,,,,-4,-9.4,,,,,,,18.9,2
2000-03-12,12:00,2,0,,,,276,,1,,1750,10,964.193,1014.2,,,51,,,,-2.3,-10,-1,,,,,,18.1,
2000-03-12,18:00,2,0,,,,0,,0,,3000,10,963.261,1013.5,,,84,,,,-3.8,-5.9,,,,,,,4.8,71
2000-03-12,,2,,,,,,,,,,,,,0.1,0,,0.1,,1,,,,,,-5.8,,-2,,
2000-03-13,00:00,2,0,,,,0,,0,,3000,10,961.747,1012.3,,,97,,37,,-5.9,-6.3,-5,,,,,,4.3,71
2000-03-13,06:00,2,5,,,,18,,2,,3000,4,961.622,1012,,,81,,,,-5,-7.4,,,,,,,9.3,2
2000-03-13,12:00,2,5,,,,9,,4,,3000,10,961.882,1011.9,,,70,,,,-3,-7.2,-2,,,,,,14.5,
2000-03-13,18:00,2,0,,,,319,,3,,3000,10,961.538,1011.8,,,67,,,,-4.4,-9.1,,,,,,,7.4,
2000-03-13,,2,,,,,,,,,,,,,5,0.1,,5,,5,,,,,-7.2,-6.1,,-2.6,,
2000-03-14,00:00,2,0,,,,320,,4,,3000,10,961.397,1012.1,,,84,,37,,-6.8,-8.8,-6,,,,,,8,71
2000-03-14,06:00,2,5,,,,320,,6,,3000,8,961.848,1012.5,,,67,,,,-6.4,-10.9,,,,,,,12.3,2
2000-03-14,12:00,2,0,,,,320,,7,,3000,3,964.116,1014.4,,,44,,,,-3.8,-13.1,-4,,,,,,18,36
2000-03-14,18:00,2,,,,,279,,2,,3000,6,967.34,1018.3,,,60,,,,-6.5,-12.3,,,,,,,12.4,2
2000-03-14,,2,,,,,,,,,,,,,1,0.1,,1,,5,,,,,-11.4,-8.5,,-3.2,,
2000-03-15,00:00,2,0,,,,270,,2,,3000,10,968.334,1020.1,,,84,,35,,-10.5,-12.5,-12,,,,,,12,71
2000-03-15,06:00,2,,,,,290,,5,,3000,0,970.337,1021.7,,,69,,,,-7.8,-11.9,,,,,,,13.7,36
2000-03-15,12:00,2,5,,,,270,,6,,3000,6,970.988,1021.8,,,46,,,,-4.7,-13.5,-5,,,,,,18.2,36
2000-03-15,18:00,2,0,,,,280,,3,,1250,9,971.975,1023.5,,,69,,,,-8.2,-12.4,,,,,,,15.2,2
2000-03-15,,2,,,,,,,,,,,,,0.2,0.2,,0.2,,7,,,,,-12.7,-11.4,,-4.4,,
2000-03-16,00:00,2,5,,,,0,,0,,3000,5,972.624,1024.6,,,95,,34,,-10.4,-11,-10,,,,,,13.6,
2000-03-16,06:00,2,0,,,,270,,4,,3000,8,972.062,1023.1,,,51,,,,-5.6,-13.3,,,,,,,40,2
2000-03-16,12:00,2,0,,,,270,,3,,3000,6,971.812,1022.8,,,49,,,,-5.4,-13.5,-6,,,,,,40,
2000-03-16,18:00,2,5,,,,0,,0,,800,9,973.471,1025.9,,,70,,,,-12.55,-16.4,,,,,,,15,
2000-03-16,,2,,,,,,,,,,,,,0.2,0,,0.1,,7,,,,,-18.6,-14.55,,-4.7,,
2000-03-18,00:00,2,3,,,,0,,0,,800,8,978.058,1030.4,,,95,,35,,-10.8,-11.4,-11,,,,,,8,85
2000-03-18,06:00,2,,,,,290,,3,,1250,5,979.142,1030.4,,,76,,,,-4.8,-8,,,,,,,17.3,2
2000-03-18,12:00,2,0,,,,300,,4,,1750,3,980.014,1030.5,,,45,,,,-0.5,-9.9,-1,,,,,,40,
2000-03-18,18:00,2,,,,,0,,0,,3000,0,983.112,1035.4,,,94,,,,-9.1,-9.8,,,,,,,14.8,
2000-03-18,,2,,,,,,,,,,,,,0.1,0,,0.1,,7,,,,,-16,-13.4,,-0.4,,
