# Weather archive data (Russian header encoding: Windows, CP1251)
# Данные из архива погодных условий (см. http://meteo.infospace.ru)
# Метеостанция
#    Индекс WMO    : 28642
#    Имя (EN/RU)   : Chelyabinsk/Balandino / Челябинск/Баландино
# Выборка данных
#    Диапазон дат  : 1998-11-26 ... 2004-06-16
#    Формат даты   : YYYY-MM-DD
#    Формат времени: HH:MM
#    Формат файла  : CSV (значения, разделенные запятыми)
#    БД-источник(и): 1,2
# Поля данных
#    date  - Дата UTC
#    time  - Время UTC
#    db_id - Код БД-источника
#    C     - Облачность (соотв. НГО), тип
#    Ch    - Облачность верхняя, тип
#    Cl    - Облачность нижняя, тип
#    Cm    - Облачность средняя, тип
#    dd    - Направление ветра
#    E     - Состояние почвы
#    ff    - Скорость ветра
#    G     - Порывы ветра
#    h     - Облачность, нижняя граница
#    N     - Облачность (нижняя или средняя)
#    P     - Давление
#    P0    - Давление на уровне моря
#    R24   - Осадки
#    Rd    - Осадки, день
#    RH    - Относительная влажность
#    Rn    - Осадки, ночь
#    SD    - Высота снежного покрова
#    SS    - Солнечный свет, продолжительность
#    T     - Температура
#    Td    - Точка росы
#    Tg    - Температура почвы
#    Tgn   - Температура почвы, мин
#    Tln   - Температура последней ночи, мин
#    Tn    - Температура, мин
#    Tw    - Температура воды
#    Tx    - Температура, макс
#    VV    - Видимость
#    ww    - Погодные условия
#
#    Порядок полей в записи: date,time,db_id,C,Ch,Cl,Cm,dd,E,ff,G,h,N,P,P0,R24,Rd,RH,Rn,SD,SS,T,Td,Tg,Tgn,Tln,Tn,Tw,Tx,VV,ww
#
1998-11-26,09:00,1,6,,,,0,,5,,1250,6,1009.05,1041,,,48,,,,-22,-29.2694,,,,,,,10,5
1998-11-26,12:00,1,9,,,,351,,4,,3000,6,1009.69,1042,,,60,,,,-25,-29.982,,,,,,,10,5
1998-11-26,15:00,1,9,,,,40,,4,,3000,10,1012.49,1045,,,75,,,,-26,-28.808,,,,,,,10,8
1998-11-26,21:00,1,9,,,,39,,2,,3000,5,1014,1047,,,100,,,,-30,-30,,,,,,,10,4
1998-11-27,09:00,1,9,,,,0,,0,,3000,0,1020.03,1053,,,77,,,,-28,-30.5116,,,,,,,10,0
1998-11-27,12:00,1,9,,,,309,,2,,3000,0,1020.78,1054,,,48,,,,-30,-36.8063,,,,,,,10,0
1998-11-27,15:00,1,9,,,,300,,2,,3000,0,1021.53,1055,,,52,,,,-32,-37.9816,,,,,,,10,0
1998-11-27,21:00,1,9,,,,288,,2,,3000,0,1021.31,1055,,,62,,,,-34,-38.3286,,,,,,,10,0
1998-11-28,09:00,1,9,,,,160,,3,,3000,3,1021.96,1055,,,73,,,,-28,-31.0177,,,,,,,12,2
1998-11-28,12:00,1,9,,,,171,,2,,3000,10,1021.86,1055,,,73,,,,-29,-31.9925,,,,,,,15,8
1998-11-28,15:00,1,9,,,,0,,0,,3000,10,1021,1054,,,68,,,,-28,-31.6875,,,,,,,16,8
1998-11-28,21:00,1,9,,,,0,,0,,3000,8,1017.66,1050,,,100,,,,-23,-23,,,,,,,13,6
1998-11-30,09:00,1,9,,,,280,,7,,3000,9,1010.77,1042,,,80,,,,-15,-17.388,,,,,,,10,7
1998-11-30,12:00,1,9,,,,270,,6,,3000,9,1010.55,1042,,,67,,,,-17,-21.1864,,,,,,,10,7
1998-11-30,15:00,1,9,,,,260,,6,,3000,10,1010.44,1042,,,71,,,,-18,-21.5604,,,,,,,10,8
1998-11-30,21:00,1,6,,,,290,,6,,1250,10,1009.37,1041,,,79,,,,-19,-21.4417,,,,,,,10,8
1998-12-01,09:00,1,8,,,,279,,4,,2250,8,1009.47,1041,,,66,,,,-18,-22.3063,,,,,,,10,6
1998-12-01,12:00,1,9,,,,289,,4,,3000,6,1009.26,1041,,,73,,,,-20,-23.223,,,,,,,10,5
1998-12-01,15:00,1,9,,,,300,,5,,3000,4,1007.32,1039,,,89,,,,-20,-21.2034,,,,,,,10,3
1998-12-01,21:00,1,9,,,,229,,3,,3000,8,1004.73,1036,,,100,,,,-17,-17,,,,,,,15,6
1998-12-02,09:00,1,4,,,,250,,6,,450,10,995.562,1026,,,82,,,,-12,-14.177,,,,,,,10,8
1998-12-02,12:00,1,9,,,,230,,6,,3000,5,991.681,1022,,,73,,,,-12,-15.435,,,,,,,10,4
